"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Semi-Finals";"Wed Oct 6, 2021";"8:45 PM";"A";"";"Italy";"4-3-3 Attacking";"33.524";"1:2";"UEFA Nations League Finals";"Spain"
"Final";"Sun Oct 10, 2021";"8:45 PM";"H";"";"France";"4-3-3 Attacking";"31.511";"1:2";"UEFA Nations League Finals";"Spain"
"Group 2";"Thu Jun 2, 2022";"8:45 PM";"H";"";"Portugal";"4-3-3 Attacking";"41.236";"1:1";"UEFA Nations League A";"Spain"
"Group 2";"Sun Jun 5, 2022";"8:45 PM";"A";"";"Czech Republic";"4-3-3 Attacking";"18.245";"2:2";"UEFA Nations League A";"Spain"
"Group 2";"Thu Jun 9, 2022";"8:45 PM";"A";"";"Switzerland";"4-3-3 Attacking";"25.875";"0:1";"UEFA Nations League A";"Spain"
"Group 2";"Sun Jun 12, 2022";"8:45 PM";"H";"";"Czech Republic";"4-3-3 Attacking";"30.389";"2:0";"UEFA Nations League A";"Spain"
"Group 2";"Sat Sep 24, 2022";"8:45 PM";"H";"";"Switzerland";"4-3-3 Attacking";"31.809";"1:2";"UEFA Nations League A";"Spain"
"Group 2";"Tue Sep 27, 2022";"8:45 PM";"A";"";"Portugal";"";"";"-:-";"UEFA Nations League A";"Spain"
"Final";"Wed Jun 1, 2022";"8:45 PM";"A";"";"Italy";"4-4-2";"87.112";"0:3";"CONMEBOL-UEFA Cup of Champions";"Argentina"
"Group 2";"Tue Sep 11, 2018";"8:45 PM";"A";"";"Iceland";"3-4-3";"9.710";"0:3";"UEFA Nations League A";"Belgium"
"Group 2";"Fri Oct 12, 2018";"8:45 PM";"H";"";"Switzerland";"3-4-3";"39.049";"2:1";"UEFA Nations League A";"Belgium"
"Group 2";"Thu Nov 15, 2018";"8:45 PM";"H";"";"Iceland";"3-4-2-1";"28.891";"2:0";"UEFA Nations League A";"Belgium"
"Group 2";"Sun Nov 18, 2018";"8:45 PM";"A";"";"Switzerland";"3-4-3";"15.000";"5:2";"UEFA Nations League A";"Belgium"
"Group 2";"Sat Sep 5, 2020";"8:45 PM";"A";"";"Denmark";"3-4-2-1";"x";"0:2";"UEFA Nations League A";"Belgium"
"Group 2";"Tue Sep 8, 2020";"8:45 PM";"H";"";"Iceland";"3-4-3";"x";"5:1";"UEFA Nations League A";"Belgium"
"Group 2";"Sun Oct 11, 2020";"6:00 PM";"A";"";"England";"5-4-1";"x";"2:1";"UEFA Nations League A";"Belgium"
"Group 2";"Wed Oct 14, 2020";"8:45 PM";"A";"";"Iceland";"3-4-3";"59";"1:2";"UEFA Nations League A";"Belgium"
"Group 2";"Sun Nov 15, 2020";"8:45 PM";"H";"";"England";"3-4-2-1";"x";"2:0";"UEFA Nations League A";"Belgium"
"Group 2";"Wed Nov 18, 2020";"8:45 PM";"H";"";"Denmark";"3-4-2-1";"";"4:2";"UEFA Nations League A";"Belgium"
"Semi-Finals";"Thu Oct 7, 2021";"8:45 PM";"H";"";"France";"3-4-3";"12.409";"2:3";"UEFA Nations League Finals";"Belgium"
"Third Place Play-Off";"Sun Oct 10, 2021";"3:00 PM";"A";"";"Italy";"3-4-2-1";"16.724";"2:1";"UEFA Nations League Finals";"Belgium"
"Group 4";"Fri Jun 3, 2022";"8:45 PM";"H";"";"Netherlands";"3-4-1-2";"42.000";"1:4";"UEFA Nations League A";"Belgium"
"Group 4";"Wed Jun 8, 2022";"8:45 PM";"H";"";"Poland";"3-4-3";"27.409";"6:1";"UEFA Nations League A";"Belgium"
"Group 4";"Sat Jun 11, 2022";"8:45 PM";"A";"";"Wales";"3-4-2-1";"27.188";"1:1";"UEFA Nations League A";"Belgium"
"Group 4";"Tue Jun 14, 2022";"8:45 PM";"A";"";"Poland";"3-4-3";"56.803";"0:1";"UEFA Nations League A";"Belgium"
"Group 4";"Thu Sep 22, 2022";"8:45 PM";"H";"";"Wales";"3-4-2-1";"35.700";"2:1";"UEFA Nations League A";"Belgium"
"Group 4";"Sun Sep 25, 2022";"8:45 PM";"A";"";"Netherlands";"3-4-2-1";"";"1:0";"UEFA Nations League A";"Belgium"
"Group 4";"Tue Sep 11, 2018";"8:45 PM";"A";"";"Spain";"4-2-3-1";"26.900";"6:0";"UEFA Nations League A";"Croatia"
"Group 4";"Fri Oct 12, 2018";"8:45 PM";"H";"";"England";"4-3-3 Attacking";"x";"0:0";"UEFA Nations League A";"Croatia"
"Group 4";"Thu Nov 15, 2018";"8:45 PM";"H";"";"Spain";"4-3-3 Attacking";"33.018";"3:2";"UEFA Nations League A";"Croatia"
"Group 4";"Sun Nov 18, 2018";"3:00 PM";"A";"";"England";"4-2-3-1";"78.221";"2:1";"UEFA Nations League A";"Croatia"
"Group 3";"Sat Sep 5, 2020";"8:45 PM";"A";"";"Portugal";"4-2-3-1";"x";"4:1";"UEFA Nations League A";"Croatia"
"Group 3";"Tue Sep 8, 2020";"8:45 PM";"A";"";"France";"4-3-3 Attacking";"x";"4:2";"UEFA Nations League A";"Croatia"
"Group 3";"Sun Oct 11, 2020";"6:00 PM";"H";"";"Sweden";"4-4-2 Diamond";"2.020";"2:1";"UEFA Nations League A";"Croatia"
"Group 3";"Wed Oct 14, 2020";"8:45 PM";"H";"";"France";"4-2-3-1";"";"1:2";"UEFA Nations League A";"Croatia"
"Group 3";"Sat Nov 14, 2020";"8:45 PM";"A";"";"Sweden";"4-2-3-1";"";"2:1";"UEFA Nations League A";"Croatia"
"Group 3";"Tue Nov 17, 2020";"8:45 PM";"H";"";"Portugal";"4-3-3 Attacking";"x";"2:3";"UEFA Nations League A";"Croatia"
"Group 1";"Fri Jun 3, 2022";"8:45 PM";"H";"";"Austria";"4-2-3-1";"13.994";"0:3";"UEFA Nations League A";"Croatia"
"Group 1";"Mon Jun 6, 2022";"8:45 PM";"H";"";"France";"4-3-3 Attacking";"30.000";"1:1";"UEFA Nations League A";"Croatia"
"Group 1";"Fri Jun 10, 2022";"8:45 PM";"A";"";"Denmark";"4-2-3-1";"35.862";"0:1";"UEFA Nations League A";"Croatia"
"Group 1";"Mon Jun 13, 2022";"8:45 PM";"A";"";"France";"4-1-4-1";"77.410";"0:1";"UEFA Nations League A";"Croatia"
"Group 1";"Thu Sep 22, 2022";"8:45 PM";"H";"";"Denmark";"4-3-3 Attacking";"22.715";"2:1";"UEFA Nations League A";"Croatia"
"Group 1";"Sun Sep 25, 2022";"8:45 PM";"A";"";"Austria";"4-3-3 Attacking";"45.700";"1:3";"UEFA Nations League A";"Croatia"
"Group 4";"Fri Sep 7, 2018";"8:45 PM";"A";"";"Lithuania";"4-2-3-1";"4.378";"0:1";"UEFA Nations League C";"Serbia"
"Group 4";"Mon Sep 10, 2018";"8:45 PM";"H";"";"Romania";"4-2-3-1";"15.496";"2:2";"UEFA Nations League C";"Serbia"
