"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group A";"Sat Jun 24, 2017";"5:00 PM";"H";"";"Russia";"4-3-3 Attacking";"41.585";"2:1";"Confederations Cup 2017";"Mexico"
"Semi-Finals";"Thu Jun 29, 2017";"8:00 PM";"A";"";"Germany";"4-4-2 double 6";"37.923";"4:1";"Confederations Cup 2017";"Mexico"
"Third Place Play-Off";"Sun Jul 2, 2017";"2:00 PM";"A";"";"Portugal";"4-3-3 Attacking";"42.659";"2:1  AET";"Confederations Cup 2017";"Mexico"
"Group A";"Sat Jun 17, 2017";"5:00 PM";"H";"";"New Zealand";"3-5-2 flat";"50.251";"2:0";"Confederations Cup 2017";"Russia"
"Group A";"Wed Jun 21, 2017";"5:00 PM";"H";"";"Portugal";"3-4-2-1";"42.759";"0:1";"Confederations Cup 2017";"Russia"
"Group A";"Sat Jun 24, 2017";"5:00 PM";"A";"";"Mexico";"3-5-2 flat";"41.585";"2:1";"Confederations Cup 2017";"Russia"
"Group A";"Sat Jun 15, 2013";"9:00 PM";"A";"";"Brazil";"4-2-3-1";"67.423";"3:0";"Confederations Cup 2013";"Japan"
"Group A";"Thu Jun 20, 2013";"12:01 AM";"A";"";"Italy";"4-2-3-1";"40.489";"4:3";"Confederations Cup 2013";"Japan"
"Group A";"Sat Jun 22, 2013";"9:00 PM";"H";"";"Mexico";"4-2-3-1";"52.690";"1:2";"Confederations Cup 2013";"Japan"
"Group B";"Mon Jun 19, 2017";"5:00 PM";"H";"";"Germany";"3-4-2-1";"28.605";"2:3";"Confederations Cup 2017";"Australia"
"Group B";"Thu Jun 22, 2017";"5:00 PM";"A";"";"Cameroon";"3-4-2-1";"35.021";"1:1";"Confederations Cup 2017";"Australia"
"Group B";"Sun Jun 25, 2017";"5:00 PM";"A";"";"Chile";"3-4-2-1";"33.639";"1:1";"Confederations Cup 2017";"Australia"
