"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group D";"Wed Sep 1, 2021";"8:45 PM";"H";"";"Bosnia-Herzegovina";"4-3-3 Attacking";"";"1:1";"World Cup qualification Europe";"France"
"Group D";"Sat Sep 4, 2021";"8:45 PM";"A";"";"Ukraine";"4-3-3 Attacking";"";"1:1";"World Cup qualification Europe";"France"
"Group D";"Tue Sep 7, 2021";"8:45 PM";"H";"";"Finland";"3-4-1-2";"";"2:0";"World Cup qualification Europe";"France"
"Group D";"Sat Nov 13, 2021";"8:45 PM";"H";"";"Kazakhstan";"3-4-1-2";"";"8:0";"World Cup qualification Europe";"France"
"Group D";"Tue Nov 16, 2021";"8:45 PM";"A";"";"Finland";"3-4-1-2";"";"0:2";"World Cup qualification Europe";"France"
"Group A";"Fri Sep 3, 2010";"8:45 PM";"A";"";"Belgium";"4-2-3-1";"47.000";"0:1";"European Qualifiers";"Germany"
"Group A";"Tue Sep 7, 2010";"8:45 PM";"H";"";"Azerbaijan";"4-2-3-1";"43.751";"6:1";"European Qualifiers";"Germany"
"Group A";"Fri Oct 8, 2010";"8:45 PM";"H";"";"Türkiye";"4-2-3-1";"74.200";"3:0";"European Qualifiers";"Germany"
"Group A";"Tue Oct 12, 2010";"7:00 PM";"A";"";"Kazakhstan";"4-2-3-1";"18.000";"0:3";"European Qualifiers";"Germany"
"Group A";"Sat Mar 26, 2011";"8:00 PM";"H";"";"Kazakhstan";"4-2-3-1";"47.849";"4:0";"European Qualifiers";"Germany"
"Group A";"Fri Jun 3, 2011";"8:30 PM";"A";"";"Austria";"4-2-3-1";"50.865";"1:2";"European Qualifiers";"Germany"
"Group A";"Tue Jun 7, 2011";"7:00 PM";"A";"";"Azerbaijan";"4-2-3-1";"25.000";"1:3";"European Qualifiers";"Germany"
"Group A";"Fri Sep 2, 2011";"8:45 PM";"H";"";"Austria";"4-2-3-1";"53.313";"6:2";"European Qualifiers";"Germany"
"Group A";"Fri Oct 7, 2011";"8:30 PM";"A";"";"Türkiye";"4-2-3-1";"52.650";"1:3";"European Qualifiers";"Germany"
"Group A";"Tue Oct 11, 2011";"7:00 PM";"H";"";"Belgium";"4-2-3-1";"48.483";"3:1";"European Qualifiers";"Germany"
