"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
NA;"Di. 06.06.2017";"unbekannt";"H";"";"Nordkorea";"4-2-3-1";"";"2:2";"Freundschaftsspiele";"katar"
NA;"Mi. 16.08.2017";"19:00";"A";"";"Andorra";"4-2-3-1";"";"0:1";"Freundschaftsspiele";"katar"
NA;"Do. 05.10.2017";"00:00";"H";"";"Singapur";"?";"";"3:1";"Freundschaftsspiele";"katar"
NA;"Di. 10.10.2017";"18:00";"H";"";"Curaçao";"4-1-4-1";"";"1:2";"Freundschaftsspiele";"katar"
NA;"Sa. 11.11.2017";"17:30";"H";"";"Tschechien";"4-2-3-1";"";"0:1";"Freundschaftsspiele";"katar"
NA;"Di. 14.11.2017";"17:30";"H";"";"Island";"4-4-2 doppel 6";"2.758";"1:1";"Freundschaftsspiele";"katar"
NA;"Do. 14.12.2017";"15:30";"H";"";"Liechtenstein";"4-2-3-1";"x";"1:2";"Freundschaftsspiele";"katar"
NA;"Mi. 21.03.2018";"17:00";"A";"";"Irak";"?";"65.000";"2:3";"Freundschaftsspiele";"katar"
NA;"Sa. 24.03.2018";"17:00";"H";"";"Syrien";"4-2-3-1";"18.781";"2:2";"Freundschaftsspiele";"katar"
NA;"Fr. 07.09.2018";"18:00";"H";"";"China";"4-2-3-1";"1.200";"1:0";"Freundschaftsspiele";"katar"
NA;"Di. 11.09.2018";"18:00";"H";"";"Palästina";"4-3-3 offensiv";"1.766";"3:0";"Freundschaftsspiele";"katar"
NA;"Fr. 12.10.2018";"17:30";"H";"";"Ecuador";"4-3-3 offensiv";"11.480";"4:3";"Freundschaftsspiele";"katar"
NA;"Di. 16.10.2018";"16:00";"A";"";"Usbekistan";"4-1-4-1";"12.155";"2:0";"Freundschaftsspiele";"katar"
NA;"Mi. 14.11.2018";"19:00";"A";"";"Schweiz";"4-3-3 offensiv";"4.170";"0:1";"Freundschaftsspiele";"katar"
NA;"Mo. 19.11.2018";"16:00";"H";"";"Island";"4-2-3-1";"2.830";"2:2";"Freundschaftsspiele";"katar"
NA;"So. 23.12.2018";"unbekannt";"H";"";"Jordanien";"";"";"2:0";"Freundschaftsspiele";"katar"
NA;"Do. 27.12.2018";"12:00";"H";"";"Algerien";"4-2-3-1";"";"0:1";"Freundschaftsspiele";"katar"
NA;"Mo. 31.12.2018";"18:00";"H";"";"Iran";"4-1-4-1";"x";"1:2";"Freundschaftsspiele";"katar"
NA;"Do. 06.06.2019";"02:30";"A";"";"Brasilien";"5-3-2";"34.204";"2:0";"Freundschaftsspiele";"katar"
NA;"Do. 14.11.2019";"17:30";"H";"";"Singapur";"4-2-3-1";"x";"2:0";"Freundschaftsspiele";"katar"
NA;"Mo. 12.10.2020";"16:30";"A";"";"Ghana";"5-3-2";"";"5:1";"Freundschaftsspiele";"katar"
NA;"Fr. 13.11.2020";"18:00";"H";"";"Costa Rica";"5-3-2";"x";"1:1";"Freundschaftsspiele";"katar"
NA;"Di. 17.11.2020";"14:00";"H";"";"Südkorea";"5-3-2";"x";"1:2";"Freundschaftsspiele";"katar"
NA;"Mi. 24.03.2021";"18:00";"H";"";"Luxemburg";"5-3-2";"";"1:0";"Freundschaftsspiele";"katar"
NA;"Sa. 27.03.2021";"18:00";"H";"";"Aserbaidschan";"5-3-2";"";"2:1";"Freundschaftsspiele";"katar"
