"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Semi-Finals";"Tue Jul 6, 2021";"1:00 AM";"H";"";"Peru";"4-2-3-1";"x";"1:0";"Copa América 2021";"Brazil"
"Final";"Sun Jul 11, 2021";"2:00 AM";"A";"";"Argentina";"4-3-3 Attacking";"5.000";"1:0";"Copa América 2021";"Brazil"
"Group A";"Sat Jul 2, 2011";"2:45 AM";"H";"";"Bolivia";"4-3-3 Attacking";"52.000";"1:1";"Copa América 2011";"Argentina"
"Group A";"Thu Jul 7, 2011";"2:45 AM";"H";"";"Colombia";"4-3-3 Attacking";"";"0:0";"Copa América 2011";"Argentina"
"Group A";"Tue Jul 12, 2011";"2:45 AM";"H";"";"Costa Rica";"4-4-2 double 6";"";"3:0";"Copa América 2011";"Argentina"
"Quarter-Finals";"Sun Jul 17, 2011";"12:15 AM";"H";"";"Uruguay";"4-2-3-1";"";"5:6  on pens";"Copa América 2011";"Argentina"
"Group B";"Sat Jun 13, 2015";"11:30 PM";"H";"";"Paraguay";"4-3-3 Attacking";"16.281";"2:2";"Copa América 2015";"Argentina"
"Group B";"Wed Jun 17, 2015";"1:30 AM";"H";"";"Uruguay";"4-3-3 Attacking";"18.243";"1:0";"Copa América 2015";"Argentina"
"Group B";"Sat Jun 20, 2015";"11:30 PM";"H";"";"Jamaica";"4-3-3 Attacking";"21.083";"1:0";"Copa América 2015";"Argentina"
"Quarter-Finals";"Sat Jun 27, 2015";"1:30 AM";"H";"";"Colombia";"4-3-3 Attacking";"21.508";"5:4  on pens";"Copa América 2015";"Argentina"
"Semi-Finals";"Wed Jul 1, 2015";"1:30 AM";"H";"";"Paraguay";"4-3-3 Attacking";"29.205";"6:1";"Copa América 2015";"Argentina"
"Final";"Sat Jul 4, 2015";"10:00 PM";"A";"";"Chile";"4-3-3 Attacking";"45.693";"4:1  on pens";"Copa América 2015";"Argentina"
"Group D";"Tue Jun 7, 2016";"4:00 AM";"H";"";"Chile";"4-2-3-1";"69.451";"2:1";"Copa América Centenario 2016";"Argentina"
"Group D";"Sat Jun 11, 2016";"3:30 AM";"H";"";"Panama";"4-3-3 Attacking";"53.885";"5:0";"Copa América Centenario 2016";"Argentina"
"Group D";"Wed Jun 15, 2016";"4:00 AM";"H";"";"Bolivia";"4-2-3-1";"45.753";"3:0";"Copa América Centenario 2016";"Argentina"
"Quarter-Finals";"Sun Jun 19, 2016";"1:00 AM";"H";"";"Venezuela";"4-3-3 Attacking";"59.183";"4:1";"Copa América Centenario 2016";"Argentina"
"Semi-Finals";"Wed Jun 22, 2016";"3:00 AM";"A";"";"United States";"4-3-3 Attacking";"70.858";"0:4";"Copa América Centenario 2016";"Argentina"
"Final";"Mon Jun 27, 2016";"2:00 AM";"H";"";"Chile";"4-3-3 Attacking";"82.026";"2:4  on pens";"Copa América Centenario 2016";"Argentina"
"Group B";"Sun Jun 16, 2019";"12:01 AM";"H";"";"Colombia";"4-4-2 double 6";"35.572";"0:2";"Copa América 2019";"Argentina"
"Group B";"Thu Jun 20, 2019";"2:30 AM";"H";"";"Paraguay";"4-4-2";"22.079";"1:1";"Copa América 2019";"Argentina"
"Group B";"Sun Jun 23, 2019";"9:00 PM";"A";"";"Qatar";"4-3-1-2";"41.390";"0:2";"Copa América 2019";"Argentina"
"Quarter-Finals";"Fri Jun 28, 2019";"9:00 PM";"A";"";"Venezuela";"4-4-2 Diamond";"50.094";"0:2";"Copa América 2019";"Argentina"
"Semi-Finals";"Wed Jul 3, 2019";"2:30 AM";"A";"";"Brazil";"4-4-2 Diamond";"55.947";"2:0";"Copa América 2019";"Argentina"
"Third Place Play-Off";"Sat Jul 6, 2019";"9:00 PM";"H";"";"Chile";"4-3-3 Attacking";"44.269";"2:1";"Copa América 2019";"Argentina"
"Group A";"Mon Jun 14, 2021";"11:00 PM";"H";"";"Chile";"4-3-3 Attacking";"x";"1:1";"Copa América 2021";"Argentina"
"Group A";"Sat Jun 19, 2021";"2:00 AM";"H";"";"Uruguay";"4-3-3 Attacking";"x";"1:0";"Copa América 2021";"Argentina"
"Group A";"Tue Jun 22, 2021";"2:00 AM";"H";"";"Paraguay";"4-4-2 double 6";"x";"1:0";"Copa América 2021";"Argentina"
"Group A";"Tue Jun 29, 2021";"2:00 AM";"H";"";"Bolivia";"4-4-2 double 6";"x";"4:1";"Copa América 2021";"Argentina"
"Quarter-Finals";"Sun Jul 4, 2021";"3:00 AM";"H";"";"Ecuador";"4-3-3 Attacking";"x";"3:0";"Copa América 2021";"Argentina"
"Semi-Finals";"Wed Jul 7, 2021";"3:00 AM";"H";"";"Colombia";"4-3-3 Attacking";"x";"4:3  on pens";"Copa América 2021";"Argentina"
"Final";"Sun Jul 11, 2021";"2:00 AM";"H";"";"Brazil";"4-4-2";"5.000";"1:0";"Copa América 2021";"Argentina"
"Group C";"Tue Jul 5, 2011";"12:15 AM";"H";"";"Peru";"4-3-3 Attacking";"";"1:1";"Copa América 2011";"Uruguay"
"Group C";"Sat Jul 9, 2011";"12:15 AM";"H";"";"Chile";"5-3-2";"";"1:1";"Copa América 2011";"Uruguay"
"Group C";"Wed Jul 13, 2011";"2:45 AM";"H";"";"Mexico";"4-3-3 Attacking";"";"1:0";"Copa América 2011";"Uruguay"
"Quarter-Finals";"Sun Jul 17, 2011";"12:15 AM";"A";"";"Argentina";"4-4-2 double 6";"";"5:6  on pens";"Copa América 2011";"Uruguay"
"Semi-Finals";"Wed Jul 20, 2011";"2:45 AM";"A";"";"Peru";"4-4-2 double 6";"";"0:2";"Copa América 2011";"Uruguay"
"Final";"Sun Jul 24, 2011";"9:00 PM";"H";"";"Paraguay";"4-4-2 double 6";"";"3:0";"Copa América 2011";"Uruguay"
"Group B";"Sat Jun 13, 2015";"9:00 PM";"H";"";"Jamaica";"4-4-2 Diamond";"8.653";"1:0";"Copa América 2015";"Uruguay"
"Group B";"Wed Jun 17, 2015";"1:30 AM";"A";"";"Argentina";"4-2-3-1";"18.243";"1:0";"Copa América 2015";"Uruguay"
