"";"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"77";NA;"Mi. 11.08.2010";"21:15";"A";"";"Norwegen";"4-4-2 Raute";"15.165";"2:1";"Freundschaftsspiele";"frankreich"
"78";NA;"Mi. 17.11.2010";"21:00";"A";"";"England";"4-3-3 offensiv";"85.495";"1:2";"Freundschaftsspiele";"frankreich"
"79";NA;"Mi. 09.02.2011";"21:00";"H";"";"Brasilien";"4-2-3-1";"79.712";"1:0";"Freundschaftsspiele";"frankreich"
"80";NA;"Di. 29.03.2011";"21:00";"H";"";"Kroatien";"4-3-3 defensiv";"60.000";"0:0";"Freundschaftsspiele";"frankreich"
"81";NA;"Di. 07.06.2011";"00:00";"A";"";"Ukraine";"4-3-3 offensiv";"11.200";"1:4";"Freundschaftsspiele";"frankreich"
"82";NA;"Do. 09.06.2011";"21:00";"A";"";"Polen";"4-3-3 offensiv";"31.000";"0:1";"Freundschaftsspiele";"frankreich"
"83";NA;"Mi. 10.08.2011";"21:00";"H";"";"Chile";"4-3-3 offensiv";"30.000";"1:1";"Freundschaftsspiele";"frankreich"
"84";NA;"Fr. 11.11.2011";"21:00";"H";"";"Vereinigte Staaten";"4-4-2 doppel 6";"70.018";"1:0";"Freundschaftsspiele";"frankreich"
"85";NA;"Di. 15.11.2011";"21:00";"H";"";"Belgien";"4-3-3 offensiv";"50.000";"0:0";"Freundschaftsspiele";"frankreich"
"86";NA;"Mi. 29.02.2012";"20:45";"A";"";"Deutschland";"4-2-3-1";"37.800";"1:2";"Freundschaftsspiele";"frankreich"
"87";NA;"So. 27.05.2012";"21:00";"H";"";"Island";"4-3-3 offensiv";"20.580";"3:2";"Freundschaftsspiele";"frankreich"
"88";NA;"Do. 31.05.2012";"21:00";"H";"";"Serbien";"4-3-3 offensiv";"19.000";"2:0";"Freundschaftsspiele";"frankreich"
"89";NA;"Di. 05.06.2012";"21:00";"H";"";"Estland";"4-2-3-1";"24.000";"4:0";"Freundschaftsspiele";"frankreich"
"90";NA;"Mi. 15.08.2012";"21:00";"H";"";"Uruguay";"4-2-3-1";"25.000";"0:0";"Freundschaftsspiele";"frankreich"
"91";NA;"Fr. 12.10.2012";"21:00";"H";"";"Japan";"4-3-3 offensiv";"55.000";"0:1";"Freundschaftsspiele";"frankreich"
"92";NA;"Mi. 14.11.2012";"20:50";"A";"";"Italien";"4-2-3-1";"20.000";"1:2";"Freundschaftsspiele";"frankreich"
"93";NA;"Mi. 06.02.2013";"21:00";"H";"";"Deutschland";"4-2-3-1";"75.000";"1:2";"Freundschaftsspiele";"frankreich"
"94";NA;"Mi. 05.06.2013";"21:00";"A";"";"Uruguay";"4-2-3-1";"35.000";"1:0";"Freundschaftsspiele";"frankreich"
"95";NA;"So. 09.06.2013";"21:00";"A";"";"Brasilien";"4-3-3 offensiv";"51.919";"3:0";"Freundschaftsspiele";"frankreich"
"96";NA;"Mi. 14.08.2013";"21:00";"A";"";"Belgien";"4-2-3-1";"41.773";"0:0";"Freundschaftsspiele";"frankreich"
"97";NA;"Fr. 11.10.2013";"21:00";"H";"";"Australien";"4-2-3-1";"38.000";"6:0";"Freundschaftsspiele";"frankreich"
"98";"Gruppe E";"So. 15.06.2014";"21:00";"H";"";"Honduras";"4-3-3 offensiv";"43.012";"3:0";"Weltmeisterschaft 2014";"frankreich"
"99";"Gruppe E";"Fr. 20.06.2014";"21:00";"A";"";"Schweiz";"4-3-3 offensiv";"51.003";"2:5";"Weltmeisterschaft 2014";"frankreich"
"100";"Gruppe E";"Mi. 25.06.2014";"22:00";"A";"";"Ecuador";"4-3-3 offensiv";"74.545";"0:0";"Weltmeisterschaft 2014";"frankreich"
"101";"Achtelfinale";"Mo. 30.06.2014";"18:00";"H";"";"Nigeria";"4-3-3 offensiv";"67.882";"2:0";"Weltmeisterschaft 2014";"frankreich"
"102";"Viertelfinale";"Fr. 04.07.2014";"18:00";"H";"";"Deutschland";"4-3-3 offensiv";"74.240";"0:1";"Weltmeisterschaft 2014";"frankreich"
"103";NA;"Mi. 05.03.2014";"21:00";"H";"";"Niederlande";"4-3-3 offensiv";"78.292";"2:0";"Freundschaftsspiele";"frankreich"
"104";NA;"Di. 27.05.2014";"21:00";"H";"";"Norwegen";"4-3-3 offensiv";"75.000";"4:0";"Freundschaftsspiele";"frankreich"
"105";NA;"So. 01.06.2014";"21:00";"H";"";"Paraguay";"4-3-3 offensiv";"35.200";"1:1";"Freundschaftsspiele";"frankreich"
"106";NA;"So. 08.06.2014";"00:00";"H";"";"Jamaika";"4-3-3 offensiv";"49.600";"8:0";"Freundschaftsspiele";"frankreich"
"107";NA;"Do. 04.09.2014";"21:00";"H";"";"Spanien";"4-2-3-1";"80.000";"1:0";"Freundschaftsspiele";"frankreich"
"108";NA;"So. 07.09.2014";"20:45";"A";"";"Serbien";"4-3-3 offensiv";"12.500";"1:1";"Freundschaftsspiele";"frankreich"
"109";NA;"Sa. 11.10.2014";"20:45";"H";"";"Portugal";"4-3-3 offensiv";"";"2:1";"Freundschaftsspiele";"frankreich"
"110";NA;"Di. 14.10.2014";"18:00";"A";"";"Armenien";"4-2-3-1";"10.000";"0:3";"Freundschaftsspiele";"frankreich"
"111";NA;"Fr. 14.11.2014";"20:45";"H";"";"Albanien";"4-3-1-2";"26.527";"1:1";"Freundschaftsspiele";"frankreich"
"112";NA;"Di. 18.11.2014";"21:00";"H";"";"Schweden";"4-2-3-1";"67.000";"1:0";"Freundschaftsspiele";"frankreich"
"113";NA;"Do. 26.03.2015";"21:00";"H";"";"Brasilien";"4-3-3 offensiv";"";"1:3";"Freundschaftsspiele";"frankreich"
"114";NA;"So. 29.03.2015";"21:00";"H";"";"Dänemark";"4-2-3-1";"38.458";"2:0";"Freundschaftsspiele";"frankreich"
"115";NA;"So. 07.06.2015";"21:00";"H";"";"Belgien";"4-3-3 defensiv";"70.000";"3:4";"Freundschaftsspiele";"frankreich"
"116";NA;"Sa. 13.06.2015";"18:00";"A";"";"Albanien";"4-2-3-1";"12.000";"1:0";"Freundschaftsspiele";"frankreich"
"117";NA;"Fr. 04.09.2015";"20:45";"A";"";"Portugal";"4-3-1-2";"39.853";"0:1";"Freundschaftsspiele";"frankreich"
"118";NA;"Mo. 07.09.2015";"20:45";"H";"";"Serbien";"4-3-3 offensiv";"42.000";"2:1";"Freundschaftsspiele";"frankreich"
"119";NA;"Do. 08.10.2015";"20:45";"H";"";"Armenien";"4-3-3 offensiv";"32.136";"4:0";"Freundschaftsspiele";"frankreich"
"120";NA;"So. 11.10.2015";"20:45";"A";"";"Dänemark";"4-3-3 offensiv";"18.145";"1:2";"Freundschaftsspiele";"frankreich"
"121";NA;"Fr. 13.11.2015";"21:00";"H";"";"Deutschland";"4-3-3 offensiv";"60.000";"2:0";"Freundschaftsspiele";"frankreich"
"122";NA;"Di. 17.11.2015";"21:00";"A";"";"England";"4-3-3 offensiv";"71.223";"2:0";"Freundschaftsspiele";"frankreich"
"123";NA;"Fr. 25.03.2016";"20:45";"A";"";"Niederlande";"4-3-3 offensiv";"40.000";"2:3";"Freundschaftsspiele";"frankreich"
"124";NA;"Di. 29.03.2016";"21:00";"H";"";"Russland";"4-3-3 offensiv";"65.000";"4:2";"Freundschaftsspiele";"frankreich"
"125";NA;"Mo. 30.05.2016";"21:00";"H";"";"Kamerun";"4-3-3 offensiv";"37.000";"3:2";"Freundschaftsspiele";"frankreich"
"126";NA;"Sa. 04.06.2016";"21:00";"H";"";"Schottland";"4-3-3 offensiv";"25.000";"3:0";"Freundschaftsspiele";"frankreich"
"127";NA;"Do. 01.09.2016";"21:00";"A";"";"Italien";"4-3-3 offensiv";"39.000";"1:3";"Freundschaftsspiele";"frankreich"
"128";NA;"Di. 15.11.2016";"21:00";"H";"";"Elfenbeinküste";"4-3-3 offensiv";"35.000";"0:0";"Freundschaftsspiele";"frankreich"
"129";NA;"Di. 28.03.2017";"21:00";"H";"";"Spanien";"4-3-3 offensiv";"79.021";"0:2";"Freundschaftsspiele";"frankreich"
"130";NA;"Fr. 02.06.2017";"21:00";"H";"";"Paraguay";"4-2-3-1";"28.256";"5:0";"Freundschaftsspiele";"frankreich"
"131";NA;"Di. 13.06.2017";"21:00";"H";"";"England";"4-4-2 doppel 6";"80.000";"3:2";"Freundschaftsspiele";"frankreich"
"132";NA;"Fr. 10.11.2017";"21:00";"H";"";"Wales";"4-4-2 doppel 6";"50.000";"2:0";"Freundschaftsspiele";"frankreich"
"133";NA;"Di. 14.11.2017";"20:45";"A";"";"Deutschland";"4-3-3 offensiv";"36.948";"2:2";"Freundschaftsspiele";"frankreich"
"134";"Gruppe C";"Sa. 16.06.2018";"12:00";"H";"";"Australien";"4-3-3 offensiv";"41.279";"2:1";"Weltmeisterschaft 2018";"frankreich"
"135";"Gruppe C";"Do. 21.06.2018";"17:00";"H";"";"Peru";"4-2-3-1";"32.789";"1:0";"Weltmeisterschaft 2018";"frankreich"
"136";"Gruppe C";"Di. 26.06.2018";"16:00";"A";"";"Dänemark";"4-2-3-1";"78.011";"0:0";"Weltmeisterschaft 2018";"frankreich"
"137";"Achtelfinale";"Sa. 30.06.2018";"16:00";"H";"";"Argentinien";"4-2-3-1";"42.873";"4:3";"Weltmeisterschaft 2018";"frankreich"
"138";"Viertelfinale";"Fr. 06.07.2018";"16:00";"A";"";"Uruguay";"4-2-3-1";"43.319";"0:2";"Weltmeisterschaft 2018";"frankreich"
"139";"Halbfinale";"Di. 10.07.2018";"20:00";"H";"";"Belgien";"4-2-3-1";"64.286";"1:0";"Weltmeisterschaft 2018";"frankreich"
"140";"Finale";"So. 15.07.2018";"17:00";"H";"";"Kroatien";"4-2-3-1";"78.011";"4:2";"Weltmeisterschaft 2018";"frankreich"
"141";NA;"Fr. 23.03.2018";"21:00";"H";"";"Kolumbien";"4-2-3-1";"80.000";"2:3";"Freundschaftsspiele";"frankreich"
"142";NA;"Di. 27.03.2018";"17:50";"A";"";"Russland";"4-3-3 offensiv";"51.165";"1:3";"Freundschaftsspiele";"frankreich"
"143";NA;"Mo. 28.05.2018";"21:00";"H";"";"Irland";"4-1-4-1";"70.000";"2:0";"Freundschaftsspiele";"frankreich"
"144";NA;"Fr. 01.06.2018";"21:00";"H";"";"Italien";"4-3-3 offensiv";"34.500";"3:1";"Freundschaftsspiele";"frankreich"
"145";NA;"Sa. 09.06.2018";"21:00";"H";"";"Vereinigte Staaten";"4-3-3 offensiv";"58.241";"1:1";"Freundschaftsspiele";"frankreich"
"146";NA;"Do. 11.10.2018";"21:00";"H";"";"Island";"4-2-3-1";"18.000";"2:2";"Freundschaftsspiele";"frankreich"
"147";NA;"Di. 20.11.2018";"21:00";"H";"";"Uruguay";"4-2-3-1";"70.000";"1:0";"Freundschaftsspiele";"frankreich"
"148";NA;"So. 02.06.2019";"21:00";"H";"";"Bolivien";"4-4-2";"35.228";"2:0";"Freundschaftsspiele";"frankreich"
"149";NA;"Mi. 07.10.2020";"21:10";"H";"";"Ukraine";"4-3-1-2";"1.000";"7:1";"Freundschaftsspiele";"frankreich"
"150";NA;"Mi. 11.11.2020";"21:10";"H";"";"Finnland";"4-4-2";"x";"0:2";"Freundschaftsspiele";"frankreich"
"151";NA;"Mi. 02.06.2021";"21:05";"H";"";"Wales";"4-3-1-2";"x";"3:0";"Freundschaftsspiele";"frankreich"
"152";NA;"Di. 08.06.2021";"21:10";"H";"";"Bulgarien";"4-3-1-2";"5.000";"3:0";"Freundschaftsspiele";"frankreich"
"153";"Gruppe D";"Di. 22.11.2022";"20:00";"H";"";"Australien";"?";"";"-:-";"Weltmeisterschaft 2022";"frankreich"
"154";"Gruppe D";"Sa. 26.11.2022";"17:00";"H";"";"Dänemark";"?";"";"-:-";"Weltmeisterschaft 2022";"frankreich"
"155";"Gruppe D";"Mi. 30.11.2022";"16:00";"A";"";"Tunesien";"?";"";"-:-";"Weltmeisterschaft 2022";"frankreich"
"156";NA;"Fr. 25.03.2022";"21:15";"H";"";"Elfenbeinküste";"3-4-1-2";"62.510";"2:1";"Freundschaftsspiele";"frankreich"
"157";NA;"Di. 29.03.2022";"21:15";"H";"";"Südafrika";"3-4-1-2";"48.120";"5:0";"Freundschaftsspiele";"frankreich"
"158";"Gruppe G";"Di. 15.06.2010";"20:30";"H";"";"Nordkorea";"4-3-1-2";"54.331";"2:1";"Weltmeisterschaft 2010";"brasilien"
"159";"Gruppe G";"So. 20.06.2010";"20:30";"H";"";"Elfenbeinküste";"4-3-1-2";"84.455";"3:1";"Weltmeisterschaft 2010";"brasilien"
"160";"Gruppe G";"Fr. 25.06.2010";"16:00";"A";"";"Portugal";"4-2-3-1";"62.712";"0:0";"Weltmeisterschaft 2010";"brasilien"
"161";"Achtelfinale";"Mo. 28.06.2010";"20:30";"H";"";"Chile";"4-4-2 Raute";"54.096";"3:0";"Weltmeisterschaft 2010";"brasilien"
"162";"Viertelfinale";"Fr. 02.07.2010";"16:00";"A";"";"Niederlande";"4-4-2 Raute";"40.186";"2:1";"Weltmeisterschaft 2010";"brasilien"
"163";NA;"Di. 02.03.2010";"21:05";"H";"";"Irland";"4-3-1-2";"40.082";"2:0";"Freundschaftsspiele";"brasilien"
"164";NA;"Mi. 02.06.2010";"00:00";"A";"";"Simbabwe";"4-3-1-2";"30.000";"0:3";"Freundschaftsspiele";"brasilien"
"165";NA;"Mo. 07.06.2010";"18:00";"A";"";"Tansania";"4-3-1-2";"35.000";"1:5";"Freundschaftsspiele";"brasilien"
"166";NA;"Di. 10.08.2010";"01:00";"A";"";"Vereinigte Staaten";"4-3-3 defensiv";"77.223";"0:2";"Freundschaftsspiele";"brasilien"
"167";NA;"Do. 07.10.2010";"19:00";"A";"";"Iran";"4-3-3 defensiv";"";"0:3";"Freundschaftsspiele";"brasilien"
"168";NA;"Mo. 11.10.2010";"20:45";"H";"";"Ukraine";"4-3-3 defensiv";"13.088";"2:0";"Freundschaftsspiele";"brasilien"
"169";NA;"Mi. 17.11.2010";"18:00";"A";"";"Argentinien";"4-3-1-2";"";"1:0";"Freundschaftsspiele";"brasilien"
"170";NA;"Mi. 09.02.2011";"21:00";"A";"";"Frankreich";"4-3-3 offensiv";"79.712";"1:0";"Freundschaftsspiele";"brasilien"
"171";NA;"So. 27.03.2011";"15:00";"A";"";"Schottland";"4-4-2";"53.087";"0:2";"Freundschaftsspiele";"brasilien"
"172";NA;"Sa. 04.06.2011";"21:10";"H";"";"Niederlande";"4-3-3 defensiv";"36.449";"0:0";"Freundschaftsspiele";"brasilien"
"173";NA;"Mi. 08.06.2011";"02:55";"H";"";"Rumänien";"4-3-3 defensiv";"30.059";"1:0";"Freundschaftsspiele";"brasilien"
"174";NA;"Mi. 10.08.2011";"20:45";"A";"";"Deutschland";"4-3-3 offensiv";"54.767";"3:2";"Freundschaftsspiele";"brasilien"
"175";NA;"Mo. 05.09.2011";"20:45";"H";"";"Ghana";"4-2-3-1";"25.700";"1:0";"Freundschaftsspiele";"brasilien"
"176";NA;"Do. 15.09.2011";"02:50";"A";"";"Argentinien";"4-3-3 defensiv";"";"0:0";"Freundschaftsspiele";"brasilien"
"177";NA;"Do. 29.09.2011";"02:50";"H";"";"Argentinien";"4-3-3 defensiv";"43.038";"2:0";"Freundschaftsspiele";"brasilien"
"178";NA;"Sa. 08.10.2011";"04:00";"A";"";"Costa Rica";"4-3-3 defensiv";"";"0:1";"Freundschaftsspiele";"brasilien"
"179";NA;"Mi. 12.10.2011";"03:30";"A";"";"Mexiko";"4-3-3 defensiv";"";"1:2";"Freundschaftsspiele";"brasilien"
