"";"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"1247";NA;"Sa. 03.09.2011";"05:00";"H";"";"Costa Rica";"4-3-2-1";"15.798";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1248";NA;"Di. 06.09.2011";"20:45";"A";"";"Belgien";"4-2-3-1";"21.946";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1249";NA;"So. 09.10.2011";"00:00";"H";"";"Honduras";"4-3-2-1";"21.170";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1250";NA;"Mi. 12.10.2011";"01:00";"H";"";"Ecuador";"4-3-2-1";"20.707";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1251";NA;"Fr. 11.11.2011";"21:00";"A";"";"Frankreich";"4-4-2 doppel 6";"70.018";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1252";NA;"Di. 15.11.2011";"18:15";"A";"";"Slowenien";"4-4-2 doppel 6";"8.140";"2:3";"Freundschaftsspiele";"vereinigte-staaten"
"1253";NA;"So. 22.01.2012";"03:00";"H";"";"Venezuela";"?";"22.403";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1254";NA;"Do. 26.01.2012";"02:30";"A";"";"Panama";"4-4-2";"15.000";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1255";NA;"Mi. 29.02.2012";"20:45";"A";"";"Italien";"4-2-3-1";"15.000";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1256";NA;"So. 27.05.2012";"02:00";"H";"";"Schottland";"4-3-2-1";"44.438";"5:1";"Freundschaftsspiele";"vereinigte-staaten"
"1257";NA;"Do. 31.05.2012";"02:00";"H";"";"Brasilien";"4-3-2-1";"67.619";"1:4";"Freundschaftsspiele";"vereinigte-staaten"
"1258";NA;"Mo. 04.06.2012";"01:00";"A";"";"Kanada";"4-2-3-1";"15.247";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1259";NA;"Do. 16.08.2012";"02:00";"A";"";"Mexiko";"4-3-2-1";"56.000";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1260";NA;"Mi. 14.11.2012";"16:00";"A";"";"Russland";"4-4-2 doppel 6";"28.000";"2:2";"Freundschaftsspiele";"vereinigte-staaten"
"1261";NA;"Di. 29.01.2013";"20:00";"H";"";"Kanada";"4-4-2 doppel 6";"11.737";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1262";NA;"Mi. 29.05.2013";"02:00";"H";"";"Belgien";"4-4-2 doppel 6";"27.720";"2:4";"Freundschaftsspiele";"vereinigte-staaten"
"1263";NA;"So. 02.06.2013";"20:30";"H";"";"Deutschland";"4-4-1-1";"47.359";"4:3";"Freundschaftsspiele";"vereinigte-staaten"
"1264";NA;"Sa. 06.07.2013";"05:00";"H";"";"Guatemala";"4-3-3 defensiv";"25.080";"6:0";"Freundschaftsspiele";"vereinigte-staaten"
"1265";NA;"Mi. 14.08.2013";"20:30";"A";"";"Bosnien-Herzegowina";"4-2-3-1";"24.000";"3:4";"Freundschaftsspiele";"vereinigte-staaten"
"1266";NA;"Fr. 15.11.2013";"21:05";"A";"";"Schottland";"4-2-3-1";"21.079";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1267";NA;"Di. 19.11.2013";"20:45";"A";"";"Österreich";"4-2-3-1";"20.200";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1268";"Gruppe G";"Di. 17.06.2014";"00:00";"A";"";"Ghana";"4-2-3-1";"39.760";"1:2";"Weltmeisterschaft 2014";"vereinigte-staaten"
"1269";"Gruppe G";"Mo. 23.06.2014";"00:00";"H";"";"Portugal";"4-2-3-1";"40.123";"2:2";"Weltmeisterschaft 2014";"vereinigte-staaten"
"1270";"Gruppe G";"Do. 26.06.2014";"18:00";"H";"";"Deutschland";"4-2-3-1";"41.876";"0:1";"Weltmeisterschaft 2014";"vereinigte-staaten"
"1271";"Achtelfinale";"Di. 01.07.2014";"22:00";"A";"";"Belgien";"4-2-3-1";"51.227";"2:1  n.V.";"Weltmeisterschaft 2014";"vereinigte-staaten"
"1272";NA;"Sa. 01.02.2014";"23:00";"H";"";"Südkorea";"4-2-3-1";"27.000";"2:0";"Freundschaftsspiele";"vereinigte-staaten"
"1273";NA;"Mi. 05.03.2014";"20:00";"A";"";"Ukraine";"4-2-3-1";"1.573";"2:0";"Freundschaftsspiele";"vereinigte-staaten"
"1274";NA;"Do. 03.04.2014";"05:00";"H";"";"Mexiko";"4-4-2 doppel 6";"59.066";"2:2";"Freundschaftsspiele";"vereinigte-staaten"
"1275";NA;"Mi. 28.05.2014";"04:00";"H";"";"Aserbaidschan";"4-2-3-1";"24.688";"2:0";"Freundschaftsspiele";"vereinigte-staaten"
"1276";NA;"So. 01.06.2014";"20:00";"H";"";"Türkei";"4-4-2 doppel 6";"25.189";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1277";NA;"Sa. 07.06.2014";"00:00";"H";"";"Nigeria";"4-2-3-1";"52.033";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1278";NA;"Mi. 03.09.2014";"20:15";"A";"";"Tschechien";"4-3-3 defensiv";"12.642";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1279";NA;"Sa. 11.10.2014";"01:00";"H";"";"Ecuador";"4-4-2 doppel 6";"36.265";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1280";NA;"Mi. 15.10.2014";"02:00";"H";"";"Honduras";"4-4-2 Raute";"14.805";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1281";NA;"Fr. 14.11.2014";"20:45";"A";"";"Kolumbien";"4-4-2 Raute";"24.235";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1282";NA;"Di. 18.11.2014";"20:45";"A";"";"Irland";"4-4-2 Raute";"33.332";"4:1";"Freundschaftsspiele";"vereinigte-staaten"
"1283";NA;"Mi. 28.01.2015";"23:00";"A";"";"Chile";"5-3-2";"12.420";"3:2";"Freundschaftsspiele";"vereinigte-staaten"
"1284";NA;"So. 08.02.2015";"22:00";"H";"";"Panama";"4-2-3-1";"20.271";"2:0";"Freundschaftsspiele";"vereinigte-staaten"
"1285";NA;"Mi. 25.03.2015";"20:15";"A";"";"Dänemark";"4-4-2";"10.515";"3:2";"Freundschaftsspiele";"vereinigte-staaten"
"1286";NA;"Di. 31.03.2015";"18:05";"A";"";"Schweiz";"4-3-1-2";"16.100";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1287";NA;"Do. 16.04.2015";"03:00";"H";"";"Mexiko";"4-4-2 Raute";"64.369";"2:0";"Freundschaftsspiele";"vereinigte-staaten"
"1288";NA;"Fr. 05.06.2015";"20:30";"A";"";"Niederlande";"4-3-3 offensiv";"46.000";"3:4";"Freundschaftsspiele";"vereinigte-staaten"
"1289";NA;"Mi. 10.06.2015";"20:45";"A";"";"Deutschland";"4-4-2 Raute";"40.438";"1:2";"Freundschaftsspiele";"vereinigte-staaten"
"1290";NA;"Sa. 04.07.2015";"00:30";"H";"";"Guatemala";"4-4-2 Raute";"44.835";"4:0";"Freundschaftsspiele";"vereinigte-staaten"
"1291";NA;"Sa. 05.09.2015";"01:30";"H";"";"Peru";"4-4-2 Raute";"28.896";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1292";NA;"Mi. 09.09.2015";"02:40";"H";"";"Brasilien";"4-2-3-1";"29.308";"1:4";"Freundschaftsspiele";"vereinigte-staaten"
"1293";NA;"Mi. 14.10.2015";"00:30";"H";"";"Costa Rica";"4-4-2";"9.214";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1294";NA;"So. 31.01.2016";"21:45";"H";"";"Island";"4-4-2 doppel 6";"8.803";"3:2";"Freundschaftsspiele";"vereinigte-staaten"
"1295";NA;"Sa. 06.02.2016";"04:15";"H";"";"Kanada";"4-4-2 doppel 6";"9.274";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1296";NA;"So. 22.05.2016";"18:00";"A";"";"Puerto Rico";"4-4-2 doppel 6";"15.000";"1:3";"Freundschaftsspiele";"vereinigte-staaten"
"1297";NA;"Do. 26.05.2016";"02:00";"H";"";"Ecuador";"4-3-3 defensiv";"9.893";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1298";NA;"So. 29.05.2016";"02:00";"H";"";"Bolivien";"4-3-3 offensiv";"8.894";"4:0";"Freundschaftsspiele";"vereinigte-staaten"
"1299";NA;"Fr. 07.10.2016";"22:00";"A";"";"Kuba";"4-4-2";"11.300";"0:2";"Freundschaftsspiele";"vereinigte-staaten"
"1300";NA;"Di. 11.10.2016";"02:00";"H";"";"Neuseeland";"4-3-3 defensiv";"9.012";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1301";NA;"So. 29.01.2017";"21:00";"H";"";"Serbien";"4-2-3-1";"20.079";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1302";NA;"Sa. 04.02.2017";"01:00";"H";"";"Jamaika";"4-4-2 doppel 6";"17.903";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1303";NA;"Sa. 03.06.2017";"22:00";"H";"";"Venezuela";"4-4-2 Raute";"17.315";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1304";NA;"Sa. 01.07.2017";"22:45";"H";"";"Ghana";"4-4-1-1";"28.754";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1305";NA;"Di. 14.11.2017";"21:45";"A";"";"Portugal";"4-1-4-1";"19.017";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1306";NA;"Mo. 29.01.2018";"03:30";"H";"";"Bosnien-Herzegowina";"4-1-4-1";"11.161";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1307";NA;"Mi. 28.03.2018";"01:30";"H";"";"Paraguay";"4-1-4-1";"9.895";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1308";NA;"Di. 29.05.2018";"00:30";"H";"";"Bolivien";"4-3-3 offensiv";"11.882";"3:0";"Freundschaftsspiele";"vereinigte-staaten"
"1309";NA;"Sa. 02.06.2018";"21:08";"A";"";"Irland";"4-1-4-1";"32.300";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1310";NA;"Sa. 09.06.2018";"21:00";"A";"";"Frankreich";"5-3-2";"58.241";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1311";NA;"Sa. 08.09.2018";"02:00";"H";"";"Brasilien";"4-1-4-1";"32.489";"0:2";"Freundschaftsspiele";"vereinigte-staaten"
"1312";NA;"Mi. 12.09.2018";"03:10";"H";"";"Mexiko";"4-1-4-1";"40.194";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1313";NA;"Fr. 12.10.2018";"01:30";"H";"";"Kolumbien";"4-2-3-1";"38.631";"2:4";"Freundschaftsspiele";"vereinigte-staaten"
"1314";NA;"Mi. 17.10.2018";"02:05";"H";"";"Peru";"4-1-4-1";"24.959";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1315";NA;"Do. 15.11.2018";"21:00";"A";"";"England";"4-3-3 defensiv";"68.155";"3:0";"Freundschaftsspiele";"vereinigte-staaten"
"1316";NA;"Di. 20.11.2018";"20:45";"A";"";"Italien";"3-5-2 flach";"13.500";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1317";NA;"Mo. 28.01.2019";"02:00";"H";"";"Panama";"4-3-3 offensiv";"9.040";"3:0";"Freundschaftsspiele";"vereinigte-staaten"
"1318";NA;"Sa. 02.02.2019";"21:30";"H";"";"Costa Rica";"4-3-3 offensiv";"13.656";"2:0";"Freundschaftsspiele";"vereinigte-staaten"
"1319";NA;"Fr. 22.03.2019";"01:00";"H";"";"Ecuador";"4-2-3-1";"17.422";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1320";NA;"Mi. 27.03.2019";"00:55";"H";"";"Chile";"4-2-3-1";"18.033";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1321";NA;"Do. 06.06.2019";"01:00";"H";"";"Jamaika";"3-4-2-1";"17.719";"0:1";"Freundschaftsspiele";"vereinigte-staaten"
"1322";NA;"So. 09.06.2019";"20:00";"H";"";"Venezuela";"4-1-4-1";"23.955";"0:3";"Freundschaftsspiele";"vereinigte-staaten"
"1323";NA;"Sa. 07.09.2019";"02:30";"H";"";"Mexiko";"4-5-1";"47.960";"0:3";"Freundschaftsspiele";"vereinigte-staaten"
"1324";NA;"Mi. 11.09.2019";"02:00";"H";"";"Uruguay";"4-3-3 offensiv";"20.625";"1:1";"Freundschaftsspiele";"vereinigte-staaten"
"1325";NA;"Sa. 01.02.2020";"21:55";"H";"";"Costa Rica";"4-3-3 defensiv";"";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1326";NA;"Do. 12.11.2020";"20:45";"A";"";"Wales";"4-3-3 offensiv";"x";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1327";NA;"Mo. 16.11.2020";"20:45";"H";"";"Panama";"4-3-3 offensiv";"x";"6:2";"Freundschaftsspiele";"vereinigte-staaten"
"1328";NA;"Do. 10.12.2020";"01:30";"H";"";"El Salvador";"4-3-3 offensiv";"";"6:0";"Freundschaftsspiele";"vereinigte-staaten"
"1329";NA;"Mo. 01.02.2021";"01:00";"H";"";"Trinidad und Tobago";"4-3-3 offensiv";"x";"7:0";"Freundschaftsspiele";"vereinigte-staaten"
"1330";NA;"Do. 25.03.2021";"18:00";"H";"";"Jamaika";"4-3-3 offensiv";"x";"4:1";"Freundschaftsspiele";"vereinigte-staaten"
"1331";NA;"So. 28.03.2021";"18:05";"A";"";"Nordirland";"3-4-3 flach";"x";"1:2";"Freundschaftsspiele";"vereinigte-staaten"
"1332";NA;"So. 30.05.2021";"20:15";"A";"";"Schweiz";"4-3-3 offensiv";"x";"2:1";"Freundschaftsspiele";"vereinigte-staaten"
"1333";NA;"Do. 10.06.2021";"01:00";"H";"";"Costa Rica";"4-3-3 offensiv";"";"4:0";"Freundschaftsspiele";"vereinigte-staaten"
"1334";NA;"So. 19.12.2021";"02:00";"H";"";"Bosnien-Herzegowina";"4-3-3 offensiv";"";"1:0";"Freundschaftsspiele";"vereinigte-staaten"
"1335";"Gruppe B";"Mo. 21.11.2022";"20:00";"H";"";"Wales";"?";"";"-:-";"Weltmeisterschaft 2022";"vereinigte-staaten"
"1336";"Gruppe B";"Fr. 25.11.2022";"20:00";"A";"";"England";"?";"";"-:-";"Weltmeisterschaft 2022";"vereinigte-staaten"
"1337";"Gruppe B";"Di. 29.11.2022";"20:00";"A";"";"Iran";"?";"";"-:-";"Weltmeisterschaft 2022";"vereinigte-staaten"
"1338";NA;"Do. 02.06.2022";"01:30";"H";"";"Marokko";"4-3-3 offensiv";"";"3:0";"Freundschaftsspiele";"vereinigte-staaten"
"1339";NA;"So. 05.06.2022";"23:00";"H";"";"Uruguay";"4-3-3 offensiv";"";"0:0";"Freundschaftsspiele";"vereinigte-staaten"
"1340";NA;"Fr. 23.09.2022";"14:25";"A";"";"Japan";"?";"";"-:-";"Freundschaftsspiele";"vereinigte-staaten"
"1341";"Gruppe D";"So. 13.06.2010";"16:00";"A";"";"Serbien";"4-1-4-1";"38.833";"0:1";"Weltmeisterschaft 2010";"ghana"
"1342";"Gruppe D";"Sa. 19.06.2010";"16:00";"H";"";"Australien";"4-5-1";"34.812";"1:1";"Weltmeisterschaft 2010";"ghana"
"1343";"Gruppe D";"Mi. 23.06.2010";"20:30";"H";"";"Deutschland";"4-3-3 offensiv";"83.391";"0:1";"Weltmeisterschaft 2010";"ghana"
"1344";"Achtelfinale";"Sa. 26.06.2010";"20:30";"A";"";"Vereinigte Staaten";"4-1-4-1";"34.976";"1:2  n.V.";"Weltmeisterschaft 2010";"ghana"
"1345";"Viertelfinale";"Fr. 02.07.2010";"20:30";"A";"";"Uruguay";"4-1-4-1";"84.000";"5:3  n.E.";"Weltmeisterschaft 2010";"ghana"
"1346";NA;"Di. 05.01.2010";"unbekannt";"H";"";"Malawi";"";"";"0:0";"Freundschaftsspiele";"ghana"
"1347";NA;"Mi. 03.03.2010";"17:30";"A";"";"Bosnien-Herzegowina";"?";"12.000";"2:1";"Freundschaftsspiele";"ghana"
"1348";NA;"Di. 01.06.2010";"20:30";"A";"";"Niederlande";"?";"45.000";"4:1";"Freundschaftsspiele";"ghana"
"1349";NA;"Sa. 05.06.2010";"16:00";"H";"";"Lettland";"4-3-3 offensiv";"8.108";"1:0";"Freundschaftsspiele";"ghana"
"1350";NA;"Mi. 11.08.2010";"20:45";"A";"";"Südafrika";"4-3-3 offensiv";"";"1:0";"Freundschaftsspiele";"ghana"
"1351";NA;"Mi. 17.11.2010";"00:00";"A";"";"Saudi-Arabien";"4-3-3 offensiv";"";"0:0";"Freundschaftsspiele";"ghana"
"1352";NA;"Di. 08.02.2011";"unbekannt";"H";"";"Togo";"";"";"4:1";"Freundschaftsspiele";"ghana"
"1353";NA;"Di. 29.03.2011";"21:00";"A";"";"England";"4-2-3-1";"80.102";"1:1";"Freundschaftsspiele";"ghana"
"1354";NA;"Di. 07.06.2011";"12:00";"A";"";"Südkorea";"4-3-3 offensiv";"41.271";"2:1";"Freundschaftsspiele";"ghana"
"1355";NA;"Mo. 05.09.2011";"20:45";"A";"";"Brasilien";"4-2-3-1";"25.700";"1:0";"Freundschaftsspiele";"ghana"
"1356";NA;"Di. 11.10.2011";"21:00";"H";"";"Nigeria";"?";"5.000";"0:0";"Freundschaftsspiele";"ghana"
"1357";NA;"Di. 15.11.2011";"unbekannt";"H";"";"Gabun";"";"";"2:1";"Freundschaftsspiele";"ghana"
"1358";NA;"Do. 01.03.2012";"01:00";"A";"";"Chile";"4-3-1-2";"7.000";"1:1";"Freundschaftsspiele";"ghana"
"1359";NA;"Mi. 15.08.2012";"13:30";"A";"";"China";"4-3-3 defensiv";"";"1:1";"Freundschaftsspiele";"ghana"
"1360";NA;"Di. 11.09.2012";"unbekannt";"A";"";"Liberia";"?";"";"2:0";"Freundschaftsspiele";"ghana"
"1361";NA;"Mi. 14.11.2012";"unbekannt";"A";"";"Kap Verde";"";"";"0:1";"Freundschaftsspiele";"ghana"
"1362";NA;"Do. 10.01.2013";"18:00";"H";"";"Ägypten";"4-2-3-1";"2.000";"3:0";"Freundschaftsspiele";"ghana"
"1363";NA;"So. 13.01.2013";"17:30";"H";"";"Tunesien";"4-2-3-1";"2.000x";"4:2";"Freundschaftsspiele";"ghana"
"1364";NA;"Mi. 12.06.2013";"unbekannt";"H";"";"Elfenbeinküste";"";"";"2:1";"Freundschaftsspiele";"ghana"
"1365";NA;"Fr. 14.06.2013";"unbekannt";"H";"";"Elfenbeinküste";"";"";"1:1";"Freundschaftsspiele";"ghana"
"1366";NA;"Mi. 14.08.2013";"20:00";"A";"";"Türkei";"4-4-2 doppel 6";"8.000";"2:2";"Freundschaftsspiele";"ghana"
"1367";NA;"Fr. 30.08.2013";"unbekannt";"A";"";"Libyen";"";"";"1:0";"Freundschaftsspiele";"ghana"
"1368";NA;"Di. 10.09.2013";"12:20";"A";"";"Japan";"4-2-3-1";"64.525";"3:1";"Freundschaftsspiele";"ghana"
"1369";"Gruppe G";"Di. 17.06.2014";"00:00";"H";"";"Vereinigte Staaten";"4-3-3 defensiv";"39.760";"1:2";"Weltmeisterschaft 2014";"ghana"
"1370";"Gruppe G";"Sa. 21.06.2014";"21:00";"A";"";"Deutschland";"4-2-3-1";"59.621";"2:2";"Weltmeisterschaft 2014";"ghana"
"1371";"Gruppe G";"Do. 26.06.2014";"18:00";"A";"";"Portugal";"4-4-2 doppel 6";"67.540";"2:1";"Weltmeisterschaft 2014";"ghana"
"1372";NA;"Sa. 04.01.2014";"unbekannt";"A";"";"Namibia";"?";"";"0:1";"Freundschaftsspiele";"ghana"
"1373";NA;"Mi. 05.03.2014";"unbekannt";"A";"";"Montenegro";"4-4-2 doppel 6";"";"1:0";"Freundschaftsspiele";"ghana"
"1374";NA;"Sa. 31.05.2014";"20:30";"A";"";"Niederlande";"4-5-1";"51.117";"1:0";"Freundschaftsspiele";"ghana"
"1375";NA;"Di. 10.06.2014";"01:00";"H";"";"Südkorea";"4-3-3 offensiv";"7.000";"4:0";"Freundschaftsspiele";"ghana"
"1376";NA;"Sa. 28.03.2015";"20:30";"H";"";"Senegal";"4-4-2";"";"1:2";"Freundschaftsspiele";"ghana"
"1377";NA;"Di. 31.03.2015";"unbekannt";"H";"";"Mali";"?";"";"1:1";"Freundschaftsspiele";"ghana"
"1378";NA;"Mo. 08.06.2015";"unbekannt";"H";"";"Togo";"?";"";"1:0";"Freundschaftsspiele";"ghana"
"1379";NA;"Di. 01.09.2015";"unbekannt";"A";"";"Republik Kongo";"?";"";"2:3";"Freundschaftsspiele";"ghana"
"1380";NA;"Di. 13.10.2015";"00:00";"A";"";"Kanada";"4-2-3-1";"";"1:1";"Freundschaftsspiele";"ghana"
"1381";NA;"Di. 06.09.2016";"18:00";"A";"";"Russland";"4-2-3-1";"20.000";"1:0";"Freundschaftsspiele";"ghana"
"1382";NA;"Di. 11.10.2016";"19:00";"A";"";"Südafrika";"4-4-2 doppel 6";"";"1:1";"Freundschaftsspiele";"ghana"
"1383";NA;"Do. 29.06.2017";"03:00";"A";"";"Mexiko";"4-4-2 doppel 6";"37.617";"1:0";"Freundschaftsspiele";"ghana"
"1384";NA;"Sa. 01.07.2017";"22:45";"A";"";"Vereinigte Staaten";"4-4-2 doppel 6";"28.754";"2:1";"Freundschaftsspiele";"ghana"
"1385";NA;"Mi. 30.05.2018";"12:25";"A";"";"Japan";"4-1-4-1";"64.520";"0:2";"Freundschaftsspiele";"ghana"
"1386";NA;"Do. 07.06.2018";"22:00";"A";"";"Island";"4-4-2 doppel 6";"9.723";"2:2";"Freundschaftsspiele";"ghana"
"1387";NA;"Di. 26.03.2019";"17:30";"H";"";"Mauretanien";"4-1-4-1";"";"3:1";"Freundschaftsspiele";"ghana"
"1388";NA;"So. 09.06.2019";"00:00";"A";"";"Namibia";"?";"";"1:0";"Freundschaftsspiele";"ghana"
"1389";NA;"Fr. 09.10.2020";"19:00";"A";"";"Mali";"4-3-3 offensiv";"x";"3:0";"Freundschaftsspiele";"ghana"
"1390";NA;"Mo. 12.10.2020";"16:30";"H";"";"Katar";"4-4-2 doppel 6";"";"5:1";"Freundschaftsspiele";"ghana"
"1391";NA;"Di. 08.06.2021";"21:00";"A";"";"Marokko";"4-2-3-1";"";"1:0";"Freundschaftsspiele";"ghana"
"1392";NA;"Sa. 12.06.2021";"19:00";"H";"";"Elfenbeinküste";"4-2-3-1";"x";"0:0";"Freundschaftsspiele";"ghana"
"1393";"Gruppe H";"Do. 24.11.2022";"17:00";"A";"";"Portugal";"?";"";"-:-";"Weltmeisterschaft 2022";"ghana"
"1394";"Gruppe H";"Mo. 28.11.2022";"14:00";"A";"";"Südkorea";"?";"";"-:-";"Weltmeisterschaft 2022";"ghana"
"1395";"Gruppe H";"Fr. 02.12.2022";"16:00";"H";"";"Uruguay";"?";"";"-:-";"Weltmeisterschaft 2022";"ghana"
"1396";NA;"Mi. 05.01.2022";"17:00";"A";"";"Algerien";"4-3-3 defensiv";"4.000";"3:0";"Freundschaftsspiele";"ghana"
"1397";NA;"Fr. 10.06.2022";"11:55";"A";"";"Japan";"3-5-2 offensiv";"25.100";"4:1";"Freundschaftsspiele";"ghana"
"1398";NA;"Di. 14.06.2022";"08:15";"A";"";"Chile";"4-2-3-1";"";"1:3  n.E.";"Freundschaftsspiele";"ghana"
"1399";NA;"Do. 17.11.2022";"11:00";"A";"";"Schweiz";"?";"";"-:-";"Freundschaftsspiele";"ghana"
"1400";NA;"So. 31.01.2010";"00:00";"A";"";"Jamaika";"?";"";"1:0";"Freundschaftsspiele";"kanada"
"1401";NA;"Mo. 24.05.2010";"21:00";"A";"";"Argentinien";"4-2-3-1";"52.000";"5:0";"Freundschaftsspiele";"kanada"
"1402";NA;"So. 30.05.2010";"19:30";"A";"";"Venezuela";"?";"20.000";"1:1";"Freundschaftsspiele";"kanada"
"1403";NA;"Sa. 04.09.2010";"23:00";"H";"";"Peru";"4-4-2 doppel 6";"";"0:2";"Freundschaftsspiele";"kanada"
"1404";NA;"Di. 07.09.2010";"00:00";"H";"";"Honduras";"?";"7.525";"2:1";"Freundschaftsspiele";"kanada"
"1405";NA;"Fr. 08.10.2010";"20:00";"A";"";"Ukraine";"4-4-2 doppel 6";"7.000";"2:2";"Freundschaftsspiele";"kanada"
"1406";NA;"Mi. 09.02.2011";"16:00";"A";"";"Griechenland";"?";"14.000";"1:0";"Freundschaftsspiele";"kanada"
"1407";NA;"Di. 29.03.2011";"17:00";"A";"";"Belarus";"4-4-2 doppel 6";"100";"0:1";"Freundschaftsspiele";"kanada"
"1408";NA;"Mi. 01.06.2011";"00:00";"H";"";"Ecuador";"?";"";"2:2";"Freundschaftsspiele";"kanada"
"1409";NA;"Mi. 29.02.2012";"18:00";"H";"";"Armenien";"4-3-3 offensiv";"";"1:3";"Freundschaftsspiele";"kanada"
"1410";NA;"Mo. 04.06.2012";"01:00";"H";"";"Vereinigte Staaten";"4-2-3-1";"15.247";"0:0";"Freundschaftsspiele";"kanada"
"1411";NA;"Do. 16.08.2012";"01:00";"H";"";"Trinidad und Tobago";"4-2-3-1";"200";"2:0";"Freundschaftsspiele";"kanada"
"1412";NA;"Sa. 26.01.2013";"21:00";"H";"";"Dänemark";"4-4-2 doppel 6";"3.042";"0:4";"Freundschaftsspiele";"kanada"
"1413";NA;"Di. 29.01.2013";"20:00";"A";"";"Vereinigte Staaten";"4-5-1";"11.737";"0:0";"Freundschaftsspiele";"kanada"
"1414";NA;"Fr. 22.03.2013";"00:00";"H";"";"Japan";"4-3-3 offensiv";"4.500";"1:2";"Freundschaftsspiele";"kanada"
"1415";NA;"Mo. 25.03.2013";"00:00";"A";"";"Belarus";"4-3-3 offensiv";"100";"2:0";"Freundschaftsspiele";"kanada"
"1416";NA;"Di. 28.05.2013";"00:20";"H";"";"Costa Rica";"?";"8.102";"0:1";"Freundschaftsspiele";"kanada"
"1417";NA;"So. 08.09.2013";"17:30";"H";"";"Mauretanien";"4-2-3-1";"300";"0:0";"Freundschaftsspiele";"kanada"
"1418";NA;"Di. 10.09.2013";"17:20";"H";"";"Mauretanien";"4-2-3-1";"200";"0:1";"Freundschaftsspiele";"kanada"
"1419";NA;"Di. 15.10.2013";"20:00";"H";"";"Australien";"4-4-2 doppel 6";"3.741";"0:3";"Freundschaftsspiele";"kanada"
"1420";NA;"Fr. 15.11.2013";"17:00";"A";"";"Tschechien";"4-4-2";"9.749";"2:0";"Freundschaftsspiele";"kanada"
"1421";NA;"Di. 19.11.2013";"18:00";"A";"";"Slowenien";"4-2-3-1";"3.000";"1:0";"Freundschaftsspiele";"kanada"
"1422";NA;"Fr. 23.05.2014";"17:30";"A";"";"Bulgarien";"4-2-3-1";"50";"1:1";"Freundschaftsspiele";"kanada"
"1423";NA;"Di. 27.05.2014";"17:30";"A";"";"Moldawien";"4-3-3 offensiv";"200";"1:1";"Freundschaftsspiele";"kanada"
"1424";NA;"Mi. 10.09.2014";"01:30";"H";"";"Jamaika";"4-3-3 offensiv";"12.162";"3:1";"Freundschaftsspiele";"kanada"
"1425";NA;"Mi. 15.10.2014";"03:15";"H";"";"Kolumbien";"4-1-4-1";"";"0:1";"Freundschaftsspiele";"kanada"
"1426";NA;"Mi. 19.11.2014";"02:00";"A";"";"Panama";"4-1-4-1";"";"0:0";"Freundschaftsspiele";"kanada"
"1427";NA;"Fr. 16.01.2015";"22:30";"H";"";"Island";"4-2-3-1";"100";"1:2";"Freundschaftsspiele";"kanada"
