"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe D";"Sa. 11.10.2014";"20:45";"A";"";"Polen";"4-2-3-1";"58.145";"2:0";"EM-Qualifikation";"deutschland"
"Gruppe D";"Di. 14.10.2014";"20:45";"H";"";"Irland";"4-2-3-1";"51.000";"1:1";"EM-Qualifikation";"deutschland"
"Gruppe D";"Fr. 14.11.2014";"20:45";"H";"";"Gibraltar";"3-5-2";"44.308";"4:0";"EM-Qualifikation";"deutschland"
"Gruppe D";"So. 29.03.2015";"18:00";"A";"";"Georgien";"4-2-3-1";"54.549";"0:2";"EM-Qualifikation";"deutschland"
"Gruppe D";"Sa. 13.06.2015";"20:45";"A";"";"Gibraltar";"3-5-2";"7.467";"0:7";"EM-Qualifikation";"deutschland"
"Gruppe D";"Fr. 04.09.2015";"20:45";"H";"";"Polen";"4-2-3-1";"48.500";"3:1";"EM-Qualifikation";"deutschland"
"Gruppe D";"Mo. 07.09.2015";"20:45";"A";"";"Schottland";"4-2-3-1";"50.753";"2:3";"EM-Qualifikation";"deutschland"
"Gruppe D";"Do. 08.10.2015";"20:45";"A";"";"Irland";"4-4-2 doppel 6";"51.700";"1:0";"EM-Qualifikation";"deutschland"
"Gruppe D";"So. 11.10.2015";"20:45";"H";"";"Georgien";"4-2-3-1";"43.630";"2:1";"EM-Qualifikation";"deutschland"
"Gruppe C";"So. 24.03.2019";"20:45";"A";"";"Niederlande";"3-4-1-2";"51.694";"2:3";"EM-Qualifikation";"deutschland"
"Gruppe C";"Sa. 08.06.2019";"20:45";"A";"";"Belarus";"3-4-3 flach";"7.200";"0:2";"EM-Qualifikation";"deutschland"
"Gruppe C";"Di. 11.06.2019";"20:45";"H";"";"Estland";"4-3-3 offensiv";"26.050";"8:0";"EM-Qualifikation";"deutschland"
"Gruppe C";"Fr. 06.09.2019";"20:45";"H";"";"Niederlande";"4-3-3 offensiv";"51.299";"2:4";"EM-Qualifikation";"deutschland"
"Gruppe C";"Mo. 09.09.2019";"20:45";"A";"";"Nordirland";"4-2-3-1";"18.326";"0:2";"EM-Qualifikation";"deutschland"
"Gruppe C";"So. 13.10.2019";"20:45";"A";"";"Estland";"4-4-1-1";"12.062";"0:3";"EM-Qualifikation";"deutschland"
"Gruppe C";"Sa. 16.11.2019";"20:45";"H";"";"Belarus";"4-1-4-1";"33.164";"4:0";"EM-Qualifikation";"deutschland"
