"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe F";"Di. 26.03.2013";"18:00";"A";"";"Aserbaidschan";"4-3-3 offensiv";"30.000";"0:2";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Fr. 07.06.2013";"21:45";"H";"";"Russland";"4-1-4-1";"54.697";"1:0";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Fr. 06.09.2013";"20:45";"A";"";"Nordirland";"4-3-3 offensiv";"13.629";"2:4";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Fr. 11.10.2013";"21:45";"H";"";"Israel";"4-3-3 offensiv";"48.317";"1:1";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Di. 15.10.2013";"19:00";"H";"";"Luxemburg";"4-3-3 offensiv";"18.955";"3:0";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Di. 06.09.2016";"20:45";"A";"";"Schweiz";"4-3-3 offensiv";"36.000";"2:0";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Fr. 07.10.2016";"20:45";"H";"";"Andorra";"4-4-2 doppel 6";"25.125";"6:0";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Mo. 10.10.2016";"20:45";"A";"";"Färöer";"4-1-3-2";"4.780";"0:6";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"So. 13.11.2016";"20:45";"H";"";"Lettland";"4-3-3 offensiv";"20.744";"4:1";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Sa. 25.03.2017";"20:45";"H";"";"Ungarn";"4-1-4-1";"57.816";"3:0";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Fr. 09.06.2017";"20:45";"A";"";"Lettland";"4-1-3-2";"8.087";"0:3";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Do. 31.08.2017";"20:45";"H";"";"Färöer";"4-1-3-2";"25.087";"5:1";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"So. 03.09.2017";"20:45";"A";"";"Ungarn";"4-1-3-2";"21.344";"0:1";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Sa. 07.10.2017";"20:45";"A";"";"Andorra";"4-1-4-1";"3.193";"0:2";"WM-Qualifikation Europa";"portugal"
"Gruppe B";"Di. 10.10.2017";"20:45";"H";"";"Schweiz";"4-1-3-2";"61.566";"2:0";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Mi. 24.03.2021";"20:45";"H";"";"Aserbaidschan";"4-1-4-1";"";"1:0";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Sa. 27.03.2021";"20:45";"A";"";"Serbien";"4-3-3 offensiv";"";"2:2";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Di. 30.03.2021";"20:45";"A";"";"Luxemburg";"4-2-3-1";"x";"1:3";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Mi. 01.09.2021";"20:45";"H";"";"Irland";"4-1-4-1";"7.831";"2:1";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Di. 07.09.2021";"18:00";"A";"";"Aserbaidschan";"4-1-4-1";"20.574";"0:3";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Di. 12.10.2021";"20:45";"H";"";"Luxemburg";"4-1-4-1";"18.553";"5:0";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"Do. 11.11.2021";"20:45";"A";"";"Irland";"4-1-4-1";"50.373";"0:0";"WM-Qualifikation Europa";"portugal"
"Gruppe A";"So. 14.11.2021";"20:45";"H";"";"Serbien";"4-1-4-1";"58.373";"1:2";"WM-Qualifikation Europa";"portugal"
"Gruppe I";"Di. 11.09.2012";"19:30";"A";"";"Georgien";"4-3-3 offensiv";"70.000";"0:1";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Fr. 12.10.2012";"20:00";"A";"";"Belarus";"4-3-3 offensiv";"30.000";"0:4";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Di. 16.10.2012";"21:00";"H";"";"Frankreich";"4-3-3 offensiv";"46.000";"1:1";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Fr. 22.03.2013";"20:45";"H";"";"Finnland";"4-3-3 offensiv";"27.637";"1:1";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Di. 26.03.2013";"21:00";"A";"";"Frankreich";"4-3-3 offensiv";"79.959";"0:1";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Fr. 06.09.2013";"20:30";"A";"";"Finnland";"4-3-3 offensiv";"37.492";"0:2";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Fr. 11.10.2013";"22:00";"H";"";"Belarus";"4-3-3 offensiv";"22.900";"2:1";"WM-Qualifikation Europa";"spanien"
"Gruppe I";"Di. 15.10.2013";"21:00";"H";"";"Georgien";"4-3-3 offensiv";"16.133";"2:0";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Mo. 05.09.2016";"20:45";"H";"";"Liechtenstein";"4-3-3 offensiv";"13.000";"8:0";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Do. 06.10.2016";"20:45";"A";"";"Italien";"4-3-3 offensiv";"38.470";"1:1";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"So. 09.10.2016";"20:45";"A";"";"Albanien";"4-2-3-1";"15.425";"0:2";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Sa. 12.11.2016";"20:45";"H";"";"Mazedonien";"4-3-3 offensiv";"16.622";"4:0";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Fr. 24.03.2017";"20:45";"H";"";"Israel";"4-3-3 offensiv";"20.321";"4:1";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"So. 11.06.2017";"20:45";"A";"";"Mazedonien";"4-3-3 offensiv";"20.675";"1:2";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Sa. 02.09.2017";"20:45";"H";"";"Italien";"4-3-3 offensiv";"73.628";"3:0";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Di. 05.09.2017";"20:45";"A";"";"Liechtenstein";"3-4-3";"5.864";"0:8";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Fr. 06.10.2017";"20:45";"H";"";"Albanien";"4-3-3 offensiv";"25.397";"3:0";"WM-Qualifikation Europa";"spanien"
"Gruppe G";"Mo. 09.10.2017";"20:45";"A";"";"Israel";"4-2-3-1";"28.700";"0:1";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"Do. 25.03.2021";"20:45";"H";"";"Griechenland";"4-1-4-1";"";"1:1";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"So. 28.03.2021";"18:00";"A";"";"Georgien";"4-1-4-1";"x";"1:2";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"Mi. 31.03.2021";"20:45";"H";"";"Kosovo";"4-3-3 offensiv";"x";"3:1";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"Do. 02.09.2021";"20:45";"A";"";"Schweden";"4-3-3 offensiv";"";"2:1";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"So. 05.09.2021";"20:45";"H";"";"Georgien";"4-3-3 offensiv";"8.444";"4:0";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"Mi. 08.09.2021";"20:45";"A";"";"Kosovo";"4-3-3 offensiv";"";"0:2";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"Do. 11.11.2021";"20:45";"A";"";"Griechenland";"4-3-3 offensiv";"7.825";"0:1";"WM-Qualifikation Europa";"spanien"
"Gruppe B";"So. 14.11.2021";"20:45";"H";"";"Schweden";"4-3-3 offensiv";"51.844";"1:0";"WM-Qualifikation Europa";"spanien"
"Gruppe D";"Fr. 07.09.2012";"20:30";"H";"";"Türkei";"4-3-3 offensiv";"51.628";"2:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Di. 11.09.2012";"20:30";"A";"";"Ungarn";"4-3-3 offensiv";"22.000";"1:4";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Fr. 12.10.2012";"20:30";"H";"";"Andorra";"4-3-3 offensiv";"38.000";"3:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Di. 16.10.2012";"20:00";"A";"";"Rumänien";"4-3-3 offensiv";"53.329";"1:4";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Fr. 22.03.2013";"20:30";"H";"";"Estland";"4-3-3 defensiv";"48.675";"3:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Di. 26.03.2013";"20:30";"H";"";"Rumänien";"4-3-3 defensiv";"48.000";"4:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Fr. 06.09.2013";"20:30";"A";"";"Estland";"4-3-3 offensiv";"10.210";"2:2";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Di. 10.09.2013";"20:30";"A";"";"Andorra";"4-3-3 defensiv";"850";"0:2";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Fr. 11.10.2013";"20:30";"H";"";"Ungarn";"4-3-3 defensiv";"52.072";"8:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe D";"Di. 15.10.2013";"20:00";"A";"";"Türkei";"4-3-3 offensiv";"50.530";"0:2";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Di. 06.09.2016";"20:45";"A";"";"Schweden";"4-3-3 offensiv";"36.128";"1:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Fr. 07.10.2016";"20:45";"H";"";"Belarus";"4-3-3 defensiv";"41.200";"4:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Mo. 10.10.2016";"20:45";"H";"";"Frankreich";"4-3-3 offensiv";"50.220";"0:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"So. 13.11.2016";"18:00";"A";"";"Luxemburg";"4-3-3 offensiv";"8.000";"1:3";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Sa. 25.03.2017";"20:45";"A";"";"Bulgarien";"4-3-3 offensiv";"10.900";"2:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Fr. 09.06.2017";"20:45";"H";"";"Luxemburg";"4-2-3-1";"41.300";"5:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Do. 31.08.2017";"20:45";"A";"";"Frankreich";"4-3-3 defensiv";"79.551";"4:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"So. 03.09.2017";"18:00";"H";"";"Bulgarien";"4-3-3 defensiv";"47.079";"3:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Sa. 07.10.2017";"20:45";"A";"";"Belarus";"4-3-3 defensiv";"6.850";"1:3";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Di. 10.10.2017";"20:45";"H";"";"Schweden";"4-3-3 offensiv";"41.244";"2:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Mi. 24.03.2021";"18:00";"A";"";"Türkei";"4-3-3 defensiv";"x";"4:2";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Sa. 27.03.2021";"18:00";"H";"";"Lettland";"4-3-3 defensiv";"5.000";"2:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Di. 30.03.2021";"20:45";"A";"";"Gibraltar";"4-3-3 defensiv";"335";"0:7";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Mi. 01.09.2021";"20:45";"A";"";"Norwegen";"4-3-3 offensiv";"7.000";"1:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Sa. 04.09.2021";"20:45";"H";"";"Montenegro";"4-3-3 offensiv";"20.458";"4:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Di. 07.09.2021";"20:45";"H";"";"Türkei";"4-3-3 offensiv";"35.000";"6:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Fr. 08.10.2021";"20:45";"A";"";"Lettland";"4-3-3 offensiv";"";"0:1";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Mo. 11.10.2021";"20:45";"H";"";"Gibraltar";"4-3-3 offensiv";"31.583";"6:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Sa. 13.11.2021";"20:45";"A";"";"Montenegro";"4-3-3 offensiv";"";"2:2";"WM-Qualifikation Europa";"niederlande"
"Gruppe G";"Di. 16.11.2021";"20:45";"H";"";"Norwegen";"4-3-3 offensiv";"x";"2:0";"WM-Qualifikation Europa";"niederlande"
"Gruppe A";"Sa. 08.09.2012";"16:00";"A";"";"Schottland";"4-3-3 defensiv";"47.369";"0:0";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Di. 11.09.2012";"20:30";"H";"";"Wales";"4-3-3 defensiv";"10.660";"6:1";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Fr. 12.10.2012";"20:30";"H";"";"Belgien";"4-3-3 defensiv";"21.650";"0:3";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Di. 16.10.2012";"20:30";"A";"";"Mazedonien";"4-2-3-1";"26.181";"1:0";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Fr. 22.03.2013";"18:00";"A";"";"Kroatien";"4-2-3-1";"37.168";"2:0";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Di. 26.03.2013";"20:30";"H";"";"Schottland";"4-2-3-1";"10.000";"2:0";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Fr. 07.06.2013";"20:45";"A";"";"Belgien";"4-2-3-1";"45.844";"2:1";"WM-Qualifikation Europa";"serbien"
"Gruppe A";"Fr. 06.09.2013";"20:45";"H";"";"Kroatien";"4-2-3-1";"35.000";"1:1";"WM-Qualifikation Europa";"serbien"
